ReportDate,API_WELLNO,FileNo,Company,WellName,Quarter,Section,Township,Range,County,FieldName,Pool,Oil,Wtr,Days,Runs,Gas,GasSold,Flared,Lat,Long
10/2016,33053043310000.0,23615.0,MUREX PETROLEUM CORPORATION,AMBER ELIZABETH  36-25H,SESW,36.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,1382.0,1389.0,31.0,1471.0,1564.0,1134.0,27.0,47.8491404949616,-103.553341576165
10/2016,33053038990000.0,22021.0,STATOIL OIL & GAS LP,BILL  14-23 2TFH,SWSW,11.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,245.0,491.0,15.0,350.0,246.0,217.0,29.0,47.9074264464401,-103.579904322421
10/2016,33053048330000.0,25091.0,STATOIL OIL & GAS LP,BILL  14-23 3H,NWNE,14.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,2261.0,4254.0,12.0,2233.0,2345.0,2136.0,209.0,47.9045530914511,-103.569154032074
10/2016,33053050010000.0,25645.0,STATOIL OIL & GAS LP,BILL  14-23 4TFH,NWNE,14.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.9045531484913,-103.569031623811
10/2016,33053048340000.0,25092.0,STATOIL OIL & GAS LP,BILL  14-23 5TFH,NWNE,14.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.9045530344109,-103.569276440338
10/2016,33053050000000.0,25644.0,STATOIL OIL & GAS LP,BILL  14-23 6H,NWNE,14.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,1954.0,4757.0,21.0,1958.0,2293.0,2088.0,205.0,47.9045532055315,-103.568909215547
10/2016,33053039010000.0,22023.0,STATOIL OIL & GAS LP,BILL 14-23  1H,SWSW,11.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,696.0,4528.0,20.0,702.0,604.0,525.0,79.0,47.9074840404539,-103.579846783007
10/2016,33053042390000.0,23319.0,STATOIL OIL & GAS LP,PORTER   35-26 #1TFH,SESW,35.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,1004.0,1427.0,31.0,1006.0,330.0,261.0,69.0,47.8491888565863,-103.576798995147
10/2016,33053042400000.0,23320.0,STATOIL OIL & GAS LP,PORTER   35-26 #2H,SESW,35.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,1415.0,2697.0,31.0,1408.0,2763.0,2638.0,125.0,47.8491889134726,-103.576921300683
10/2016,33053042380000.0,23302.0,STATOIL OIL & GAS LP,TIMBER CREEK  13-24 1TFH,NENW,13.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,1928.0,3843.0,31.0,2114.0,2755.0,2674.0,81.0,47.9051857973339,-103.551310777781
