ReportDate,API_WELLNO,FileNo,Company,WellName,Quarter,Section,Township,Range,County,FieldName,Pool,Oil,Wtr,Days,Runs,Gas,GasSold,Flared,Lat,Long
11/2019,33053038990000.0,22021.0,EQUINOR ENERGY LP,BILL  14-23 2TFH,SWSW,11.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,448.0,1030.0,22.0,529.0,632.0,434.0,110.0,47.9074502881123,-103.580411272639
11/2019,33053048330000.0,25091.0,EQUINOR ENERGY LP,BILL  14-23 3H,NWNE,14.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,460.0,2196.0,30.0,529.0,1423.0,1283.0,20.0,47.9045818647188,-103.569663577447
11/2019,33053050010000.0,25645.0,EQUINOR ENERGY LP,BILL  14-23 4TFH,NWNE,14.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,1014.0,5608.0,29.0,915.0,1586.0,1447.0,23.0,47.9045819779497,-103.569541169775
11/2019,33053048340000.0,25092.0,EQUINOR ENERGY LP,BILL  14-23 5TFH,NWNE,14.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,989.0,5055.0,29.0,895.0,1572.0,1434.0,22.0,47.9045817514878,-103.569785985119
11/2019,33053050000000.0,25644.0,EQUINOR ENERGY LP,BILL  14-23 6H,NWNE,14.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,845.0,1873.0,18.0,950.0,3696.0,3564.0,56.0,47.9045820911806,-103.569418762102
11/2019,33053039010000.0,22023.0,EQUINOR ENERGY LP,BILL 14-23  1H,SWSW,11.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,1254.0,2364.0,30.0,1179.0,6359.0,6114.0,125.0,47.9075079085546,-103.580353736355
11/2019,33053076280000.0,32709.0,EQUINOR ENERGY LP,HEINZ 18-19 XW  #1H,SESW,7.0,151.0,100.0,MCK,ALEXANDER,BAKKEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.9071244095814,-103.532273913084
11/2019,33053042390000.0,23319.0,EQUINOR ENERGY LP,PORTER   35-26 #1TFH,SESW,35.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,825.0,2375.0,30.0,837.0,2102.0,1982.0,0.0,47.8492094533727,-103.577274127955
11/2019,33053042400000.0,23320.0,EQUINOR ENERGY LP,PORTER   35-26 #2H,SESW,35.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,927.0,2174.0,30.0,910.0,1836.0,1715.0,1.0,47.8492095074135,-103.577396434867
11/2019,33053042380000.0,23302.0,EQUINOR ENERGY LP,TIMBER CREEK  13-24 1TFH,NENW,13.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,903.0,2120.0,30.0,696.0,1579.0,1330.0,129.0,47.9052218753264,-103.551821157051
11/2019,33053042370000.0,23301.0,EQUINOR ENERGY LP,TIMBER CREEK  13-24 2H,NENW,13.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,1290.0,2361.0,30.0,1175.0,5660.0,5451.0,209.0,47.9052212313019,-103.551698753535
