ReportDate,API_WELLNO,FileNo,Company,WellName,Quarter,Section,Township,Range,County,FieldName,Pool,Oil,Wtr,Days,Runs,Gas,GasSold,Flared,Lat,Long
11/2017,33053043310000.0,23615.0,MUREX PETROLEUM CORPORATION,AMBER ELIZABETH  36-25H,SESW,36.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,1345.0,1464.0,30.0,1443.0,2723.0,2293.0,40.0,47.8491404949616,-103.553341576165
11/2017,33053038990000.0,22021.0,STATOIL OIL & GAS LP,BILL  14-23 2TFH,SWSW,11.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,1406.0,2345.0,30.0,1399.0,1778.0,1704.0,44.0,47.9074264464401,-103.579904322421
11/2017,33053048330000.0,25091.0,STATOIL OIL & GAS LP,BILL  14-23 3H,NWNE,14.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,2474.0,5708.0,30.0,2465.0,2454.0,2380.0,44.0,47.9045530914511,-103.569154032074
11/2017,33053050010000.0,25645.0,STATOIL OIL & GAS LP,BILL  14-23 4TFH,NWNE,14.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,1968.0,10324.0,30.0,1930.0,2642.0,2564.0,48.0,47.9045531484913,-103.569031623811
11/2017,33053048340000.0,25092.0,STATOIL OIL & GAS LP,BILL  14-23 5TFH,NWNE,14.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,1144.0,9142.0,30.0,1132.0,1137.0,1087.0,20.0,47.9045530344109,-103.569276440338
11/2017,33053050000000.0,25644.0,STATOIL OIL & GAS LP,BILL  14-23 6H,NWNE,14.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,2922.0,4684.0,30.0,2858.0,3423.0,3331.0,62.0,47.9045532055315,-103.568909215547
11/2017,33053039010000.0,22023.0,STATOIL OIL & GAS LP,BILL 14-23  1H,SWSW,11.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,4404.0,3757.0,30.0,4354.0,9529.0,9270.0,229.0,47.9074840404539,-103.579846783007
11/2017,33053076280000.0,32709.0,STATOIL OIL & GAS LP,HEINZ 18-19 XW  #1H,SESW,7.0,151.0,100.0,MCK,ALEXANDER,BAKKEN,206.0,1413.0,19.0,0.0,718.0,684.0,34.0,47.9070795016772,-103.531755793959
11/2017,33053042390000.0,23319.0,STATOIL OIL & GAS LP,PORTER   35-26 #1TFH,SESW,35.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,920.0,1930.0,28.0,872.0,812.0,758.0,26.0,47.8491888565863,-103.576798995147
11/2017,33053042400000.0,23320.0,STATOIL OIL & GAS LP,PORTER   35-26 #2H,SESW,35.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,1123.0,3561.0,30.0,1074.0,1696.0,1653.0,13.0,47.8491889134726,-103.576921300683
11/2017,33053042380000.0,23302.0,STATOIL OIL & GAS LP,TIMBER CREEK  13-24 1TFH,NENW,13.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,1474.0,3045.0,30.0,1390.0,3138.0,3029.0,79.0,47.9051857973339,-103.551310777781
11/2017,33053042370000.0,23301.0,STATOIL OIL & GAS LP,TIMBER CREEK  13-24 2H,NENW,13.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,1959.0,3588.0,30.0,2076.0,4649.0,4487.0,162.0,47.9051851087079,-103.5511883745
11/2017,33053014360000.0,9132.0,"TAQA USA, INC.",SKEDSVOLD     23-6,SENW,23.0,151.0,101.0,MCK,ALEXANDER,DUPEROW,971.0,971.0,30.0,1101.0,174.0,0.0,0.0,47.886693,-103.57491
11/2017,33053015410000.0,9617.0,"TAQA USA, INC.",BOLKEN     24-12,NWSW,24.0,151.0,101.0,MCK,ALEXANDER,MADISON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.882622,-103.558708
11/2017,33053012110000.0,8165.0,"TAQA USA, INC.",SKEDSVOLD  1,SENE,23.0,151.0,101.0,MCK,ALEXANDER,MADISON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.8862073601492,-103.564744817384
