ReportDate,API_WELLNO,FileNo,Company,WellName,Quarter,Section,Township,Range,County,FieldName,Pool,Oil,Wtr,Days,Runs,Gas,GasSold,Flared,Lat,Long
01/2016,33053043310000.0,23615.0,MUREX PETROLEUM CORPORATION,AMBER ELIZABETH  36-25H,SESW,36.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,1867.0,1557.0,31.0,2995.0,3315.0,3043.0,0.0,47.8491404949616,-103.553341576165
01/2016,33053038990000.0,22021.0,STATOIL OIL & GAS LP,BILL  14-23 2TFH,SWSW,11.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,756.0,2868.0,31.0,952.0,1141.0,1074.0,67.0,47.9074264464401,-103.579904322421
01/2016,33053048330000.0,25091.0,STATOIL OIL & GAS LP,BILL  14-23 3H,NWNE,14.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,3389.0,8097.0,29.0,3549.0,13933.0,13521.0,412.0,47.9045530914511,-103.569154032074
01/2016,33053050010000.0,25645.0,STATOIL OIL & GAS LP,BILL  14-23 4TFH,NWNE,14.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,1003.0,8755.0,31.0,1099.0,117.0,114.0,3.0,47.9045531484913,-103.569031623811
01/2016,33053048340000.0,25092.0,STATOIL OIL & GAS LP,BILL  14-23 5TFH,NWNE,14.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,0.0,0.0,0.0,0.0,8.0,8.0,0.0,47.9045530344109,-103.569276440338
01/2016,33053050000000.0,25644.0,STATOIL OIL & GAS LP,BILL  14-23 6H,NWNE,14.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,5852.0,8219.0,31.0,5889.0,118.0,118.0,0.0,47.9045532055315,-103.568909215547
01/2016,33053039010000.0,22023.0,STATOIL OIL & GAS LP,BILL 14-23  1H,SWSW,11.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,3447.0,8715.0,30.0,3568.0,3538.0,3483.0,55.0,47.9074840404539,-103.579846783007
01/2016,33053042390000.0,23319.0,STATOIL OIL & GAS LP,PORTER   35-26 #1TFH,SESW,35.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,1302.0,3399.0,31.0,1321.0,457.0,450.0,7.0,47.8491888565863,-103.576798995147
01/2016,33053042400000.0,23320.0,STATOIL OIL & GAS LP,PORTER   35-26 #2H,SESW,35.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,1588.0,3145.0,31.0,1605.0,2913.0,2894.0,19.0,47.8491889134726,-103.576921300683
01/2016,33053042380000.0,23302.0,STATOIL OIL & GAS LP,TIMBER CREEK  13-24 1TFH,NENW,13.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,2104.0,5357.0,31.0,2417.0,1723.0,1378.0,345.0,47.9051857973339,-103.551310777781
01/2016,33053042370000.0,23301.0,STATOIL OIL & GAS LP,TIMBER CREEK  13-24 2H,NENW,13.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,4697.0,5225.0,31.0,5259.0,6484.0,6109.0,375.0,47.9051851087079,-103.5511883745
01/2016,33053014360000.0,9132.0,"TAQA NORTH USA, INC.",SKEDSVOLD     23-6,SENW,23.0,151.0,101.0,MCK,ALEXANDER,DUPEROW,1296.0,98.0,31.0,1302.0,175.0,0.0,0.0,47.886693,-103.57491
01/2016,33053015410000.0,9617.0,"TAQA NORTH USA, INC.",BOLKEN     24-12,NWSW,24.0,151.0,101.0,MCK,ALEXANDER,MADISON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.882622,-103.558708
01/2016,33053012110000.0,8165.0,"TAQA NORTH USA, INC.",SKEDSVOLD  1,SENE,23.0,151.0,101.0,MCK,ALEXANDER,MADISON,241.0,1552.0,31.0,329.0,132.0,0.0,0.0,47.8862073601492,-103.564744817384
01/2016,33053016070000.0,9844.0,"TAQA NORTH USA, INC.",SOVIG     25-2,NWNE,25.0,151.0,101.0,MCK,ALEXANDER,MADISON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.875406,-103.5478
01/2016,33053026140000.0,15670.0,"TAQA NORTH USA, INC.",HANSEN  2-23,W2SE,23.0,151.0,101.0,MCK,ALEXANDER,RED RIVER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.880860542873,-103.568864653431
01/2016,33053012110000.0,8165.0,"TAQA NORTH USA, INC.",SKEDSVOLD  1,SENE,23.0,151.0,101.0,MCK,ALEXANDER,RED RIVER,64.0,0.0,31.0,87.0,81.0,0.0,0.0,47.8862073601492,-103.564744817384
01/2016,33023008590000.0,23323.0,HUNT OIL COMPANY,ALEXANDRIA   1-33-28HTF,LOT3,1.0,160.0,101.0,DIV,ALEXANDRIA,BAKKEN,939.0,1735.0,31.0,915.0,605.0,202.0,53.0,48.7188933269934,-103.677966532666
01/2016,33023012220000.0,28507.0,HUNT OIL COMPANY,ALEXANDRIA   161-100-21-16H-1,SWSE,21.0,161.0,100.0,DIV,ALEXANDRIA,BAKKEN,4139.0,5510.0,30.0,4183.0,2443.0,1542.0,600.0,48.7501126172812,-103.668312885958
