ReportDate,API_WELLNO,FileNo,Company,WellName,Quarter,Section,Township,Range,County,FieldName,Pool,Oil,Wtr,Days,Runs,Gas,GasSold,Flared,Lat,Long
10/2019,33053038990000.0,22021.0,EQUINOR ENERGY LP,BILL  14-23 2TFH,SWSW,11.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,869.0,1154.0,31.0,860.0,1580.0,1375.0,81.0,47.9074484650001,-103.580378964
10/2019,33053048330000.0,25091.0,EQUINOR ENERGY LP,BILL  14-23 3H,NWNE,14.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,1432.0,2660.0,30.0,1376.0,3875.0,3399.0,352.0,47.904575058,-103.569628411
10/2019,33053050010000.0,25645.0,EQUINOR ENERGY LP,BILL  14-23 4TFH,NWNE,14.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,228.0,3417.0,16.0,265.0,371.0,278.0,29.0,47.9045751150001,-103.569506
10/2019,33053048340000.0,25092.0,EQUINOR ENERGY LP,BILL  14-23 5TFH,NWNE,14.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,257.0,2881.0,12.0,275.0,264.0,196.0,20.0,47.9045750000001,-103.569750822
10/2019,33053050000000.0,25644.0,EQUINOR ENERGY LP,BILL  14-23 6H,NWNE,14.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,2369.0,3523.0,31.0,2257.0,9167.0,8195.0,848.0,47.9045751730001,-103.569383589
10/2019,33053039010000.0,22023.0,EQUINOR ENERGY LP,BILL 14-23  1H,SWSW,11.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,1051.0,2321.0,31.0,1080.0,5124.0,4524.0,476.0,47.907506061,-103.580321424
10/2019,33053076280000.0,32709.0,EQUINOR ENERGY LP,HEINZ 18-19 XW  #1H,SESW,7.0,151.0,100.0,MCK,ALEXANDER,BAKKEN,0.0,0.0,0.0,99.0,0.0,0.0,0.0,47.9071016870001,-103.532229286
10/2019,33053042390000.0,23319.0,EQUINOR ENERGY LP,PORTER   35-26 #1TFH,SESW,35.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,837.0,1547.0,31.0,849.0,1562.0,1314.0,124.0,47.849209048,-103.577273418
10/2019,33053042400000.0,23320.0,EQUINOR ENERGY LP,PORTER   35-26 #2H,SESW,35.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,837.0,2728.0,31.0,850.0,1441.0,1010.0,307.0,47.8492091040001,-103.577395727
10/2019,33053042380000.0,23302.0,EQUINOR ENERGY LP,TIMBER CREEK  13-24 1TFH,NENW,13.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,1058.0,2545.0,31.0,1174.0,1771.0,1351.0,296.0,47.905207847,-103.551784734
10/2019,33053042370000.0,23301.0,EQUINOR ENERGY LP,TIMBER CREEK  13-24 2H,NENW,13.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,1410.0,2632.0,31.0,1659.0,6616.0,5513.0,1103.0,47.90520716,-103.551662328
10/2019,33053043310000.0,23615.0,MUREX PETROLEUM CORPORATION,AMBER ELIZABETH  36-25H,SESW,36.0,151.0,101.0,MCK,ALEXANDER,BAKKEN,1333.0,1605.0,31.0,1380.0,2668.0,1707.0,558.0,47.849160689,-103.553815491
10/2019,33053014360000.0,9132.0,"TAQA USA, INC.",SKEDSVOLD     23-6,SENW,23.0,151.0,101.0,MCK,ALEXANDER,DUPEROW,880.0,87.0,25.0,904.0,0.0,0.0,0.0,47.886693,-103.57491
10/2019,33053015410000.0,9617.0,"TAQA USA, INC.",BOLKEN     24-12,NWSW,24.0,151.0,101.0,MCK,ALEXANDER,MADISON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.882622,-103.558708
10/2019,33053012110000.0,8165.0,"TAQA USA, INC.",SKEDSVOLD  1,SENE,23.0,151.0,101.0,MCK,ALEXANDER,MADISON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.8862073601492,-103.564744817384
10/2019,33053026140000.0,15670.0,"TAQA USA, INC.",HANSEN  2-23,W2SE,23.0,151.0,101.0,MCK,ALEXANDER,RED RIVER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.8808817510001,-103.569338974
10/2019,33053012110000.0,8165.0,"TAQA USA, INC.",SKEDSVOLD  1,SENE,23.0,151.0,101.0,MCK,ALEXANDER,RED RIVER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.8862073601492,-103.564744817384
10/2019,33023008590000.0,23323.0,HUNT OIL COMPANY,ALEXANDRIA   1-33-28HTF,LOT3,1.0,160.0,101.0,DIV,ALEXANDRIA,BAKKEN,519.0,993.0,31.0,664.0,443.0,133.0,0.0,48.718923827,-103.67844275
10/2019,33023012220000.0,28507.0,HUNT OIL COMPANY,ALEXANDRIA   161-100-21-16H-1,SWSE,21.0,161.0,100.0,DIV,ALEXANDRIA,BAKKEN,1498.0,2184.0,31.0,1982.0,2027.0,1141.0,0.0,48.7501437070001,-103.668788755
10/2019,33023012200000.0,28501.0,HUNT OIL COMPANY,ALEXANDRIA   161-100-22-15H-1,SESW,22.0,161.0,100.0,DIV,ALEXANDRIA,BAKKEN,345.0,986.0,14.0,511.0,226.0,218.0,0.0,48.750621896,-103.654278445
10/2019,33023010970000.0,26256.0,HUNT OIL COMPANY,ALEXANDRIA   161-100-24-13H-1,SESW,24.0,161.0,100.0,DIV,ALEXANDRIA,BAKKEN,1539.0,3025.0,31.0,1603.0,1795.0,1431.0,0.0,48.750210575,-103.610359831
